,data_type,missing_count,missing_rate_pct,n_unique
CustomerID,str,0,0.0,7043
Count,int64,0,0.0,1
Country,str,0,0.0,1
State,str,0,0.0,1
City,str,0,0.0,1129
Zip Code,int64,0,0.0,1652
Lat Long,str,0,0.0,1652
Latitude,float64,0,0.0,1652
Longitude,float64,0,0.0,1651
Gender,str,0,0.0,2
Senior Citizen,str,0,0.0,2
Partner,str,0,0.0,2
Dependents,str,0,0.0,2
Tenure Months,int64,0,0.0,73
Phone Service,str,0,0.0,2
Multiple Lines,str,0,0.0,3
Internet Service,str,0,0.0,3
Online Security,str,0,0.0,3
Online Backup,str,0,0.0,3
Device Protection,str,0,0.0,3
Tech Support,str,0,0.0,3
Streaming TV,str,0,0.0,3
Streaming Movies,str,0,0.0,3
Contract,str,0,0.0,3
Paperless Billing,str,0,0.0,2
Payment Method,str,0,0.0,4
Monthly Charges,float64,0,0.0,1585
Total Charges,object,0,0.0,6531
Churn Label,str,0,0.0,2
Churn Value,int64,0,0.0,2
Churn Score,int64,0,0.0,85
CLTV,int64,0,0.0,3438
Churn Reason,str,5174,73.46,20
