CustomerID,Churn_probability,Action,Contract,Internet Service,Tenure Months,Monthly Charges,Payment Method
1069-XAIEM,0.7715619439165478,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,85.05,Electronic check
1143-NMNQJ,0.766294658172975,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,85.7,Electronic check
4750-ZRXIU,0.7646999391190025,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,84.6,Electronic check
2609-IAICY,0.7631419465903677,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,77.15,Electronic check
9248-OJYKK,0.7630660010967587,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,76.45,Electronic check
8083-YTZES,0.7618003530689141,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,74.35,Electronic check
5542-TBBWB,0.760810592301387,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.9,Electronic check
3716-BDVDB,0.7608090916729247,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.1,Electronic check
2545-EBUPK,0.7602763646633331,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,84.05,Electronic check
7409-KIUTL,0.7601162939952042,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,71.0,Electronic check
8375-DKEBR,0.7598805024028169,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.6,Electronic check
9878-TNQGW,0.7594553137151999,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,80.95,Electronic check
1820-TQVEV,0.7593505068771798,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.55,Electronic check
4342-HENTK,0.7590673653409793,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.65,Electronic check
9057-SIHCH,0.7580802268715096,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,96.6,Electronic check
4415-IJZTP,0.7575418415317904,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,74.5,Electronic check
5376-DEQCP,0.7574228201056548,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,70.6,Electronic check
7817-BOQPW,0.7573390415183264,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,75.55,Electronic check
8593-WHYHV,0.7562444702810359,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,85.3,Electronic check
6077-BDPXA,0.7557940724549809,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,70.15,Electronic check
